Reference, Quantity, Value, Footprint, Datasheet, Mfgr, Part, Vendorpart, Cost QTY: 1, Cost QTY: 1000, Cost QTY: 10000, Cost QTY: 2500, Cost QTY: 5000, Date Created, Date Modified, Description, Designer, Height, Lead-Free ?, MFR, MFR#, Management_ID, Mounting, Package, Pin Count #, RoHS Levels, Status, Tolerance, Type, Vendor, Vendor #, Voltage, _Value_, Cost QTY: 3000
C10 C12 ,2,"T491D227M010AT","kimchi_ulid:T491D227M010AT","https://api.kemet.com/component-edge/download/datasheet/T491D227M010AT.pdf","","","","1.36000","0.53786","*","0.50200","0.48408","12/16/2020","12/16/2020","220µF Molded Tantalum Capacitors 10V 2917 (7343 Metric) 500mOhm","AVR","3.10mm","Yes","KEMET","T491D227M010AT","*","SMT","2917","2","1","Active","10%","Tantalum Cap","Digikey","399-9744-2-ND","10VDC","220uF",""
C1 C2 C15 C16 C17 ,5,"T491A105K010AT","kimchi_ulid:C1206","https://www.digikey.com/htmldatasheets/production/2487974/0/0/1/t491-series.html","","","","0.30000","0.07980","0.06720","*","*","12/9/2020","12/9/2020","1µF Molded Tantalum Capacitors 10V 1206 (3216 Metric) ","AVR","0.55mm","Yes","KEMET","T491A105K010AT","*","SMT","1206","2","1","Active","10%","Ceramic Cap","Digikey","399-9449-2-ND","10V","1uF",""
C25 ,1,"UZP1H0R1MCL1GB","kimchi_ulid:UZP1H0R1MCL1GB","https://media.digikey.com/pdf/Data%20Sheets/Nichicon%20PDFs/ZP_Series.pdf","","","","0.71000","0.20706","0.17052","*","*","12/16/2020","12/16/2020","0.1µF 50V Aluminum Electrolytic Capacitors Radial, Can - SMD  2000 Hrs @ 85°C","AVR","4.6mm","Yes","Nichicon","UZP1H0R1MCL1GB","*","SMT","*","2","1","Active","20%","Aluminum Cap","Digikey","493-10087-2-ND","50V","0.1uF",""
C3 C4 C5 C6 C7 C8 C11 C14 C18 C24 ,10,"C0402C104K9PACTU","kimchi_ulid:C0402","https://content.kemet.com/datasheets/KEM_C1006_X5R_SMD.pdf","","","","0.10000","0.01139","0.00756","0.01035","0.00952","12/7/2019","12/7/2019","0.1µF ±10% 6.3V Ceramic Capacitor X5R 0402 (1005 Metric)","AVR","0.55mm","Yes","KEMET","C0402C104K9PACTU","*","SMT","0402","2","1","Active","10%","Ceramic Cap","Digikey","399-3026-6-ND","6.3V","0.1uF",""
C9 C13 C19 C20 C21 C22 C23 ,7,"T494A106M006AT","kimchi_ulid:T494A106M006AT","https://api.kemet.com/component-edge/download/datasheet/T494A106M006AT.pdf","","","","0.69000","0.23100","*","0.23100","*","12/16/2020","12/16/2020","10µF Molded Tantalum Capacitors 6.3V 1206 (3216 Metric) 2Ohm","AVR","1.8mm","Yes","KEMET","T494A106M006AT","*","SMT","1206","2","1","Active","20%","Tantalum Cap","Digikey","399-9757-2-ND","6.3V","10uF",""
FB1 FB2 FB3 FB4 FB5 FB6 FB7 ,7,"FBMJ1608HM180NTR","kimchi_ulid:R0603","https://www.yuden.co.jp/productdata/catalog/chipbeads01_e.pdf","","","","0.11000","0.03135","*","0.02660","0.02850","12/5/2019","12/5/2019","18 Ohms @ 100MHz 1 Power Line Ferrite Bead 0603 (1608 Metric) 7.5A 4mOhm","AVR","1mm","Yes","Taiyo Yuden","FBMJ1608HM180NTR","*","SMT","0603","2","1","Active","*","Ferrite Bead","Digikey","587-3251-1-ND","*","FBMJ1608HM180NTR",""
H1 H2 H3 H4 ,4,"MountingHole_Pad","kimchi_ulid:MountingHole_3mm_Pad","~"
J1 J4 ,2,"RCJ-2123","kimchi_ulid:RCJ-2123","https://www.cuidevices.com/product/resource/digikeypdf/rcj-21xx.pdf","","","","1.67000","0.93000","*","0.86800","*","12/14/2020","12/14/2020","3.20mm ID, 9.00mm OD (RCA) Phono (RCA) Jack Mono Connector Solder","AVR","5.12mm","Yes","CUI Devices","RCJ-2123","*","ThroughHole Right Angle","*","4","1","Active","*","RCA Jack","Digikey","CP-1432-ND","24VDC","RCJ-2123",""
J2 J3 ,2,"DF40HC(3.5)-60DS","kimchi_ulid:DF40HC(3.5)-60DS","~"
J5 ,1,"54-00176","kimchi_ulid:54-00176","http://www.kycon.com/2013Catalogpage/USB/KUSBX.pdf","","","","0.91000","0.49600","0.41230","","0.43400","12/8/2020","12/8/2020","3.50mm (0.141", 1/8", Mini Plug) - Headphone Phone Jack Stereo (4 Conductor, TRRS) Connector Solder","AVR","4mm","Yes","Tensility International Corp","54-00176","*","ThroughHole Right Angle","3.5mm Audio","6","1","Active","*","3.5mm Audio","Digikey","839-54-00176TR-ND","*","54-00176","0.44950"
